ticker,target_name,aliases
SIG,Sigma Healthcare Limited,Chemist Warehouse | Sigma Healthcare
CYG,CYG,
AUB,AUB,
BUB,BUB,
NWH,NWH,
XRO,Xero,Xero Limited
CCV,Cash Converters International Limited,Cash Converters
NXL,NXL,
FRI,FRI,
AOV,AOV,
PRN,PRN,
CVL,CVL,
BLD,BLD,
CTD,CTD,
MME,MME,
JIN,JIN,
CLW,Charter Hall Long WALE REIT,Long WALE | Longwale
MTS,Metcash Limited,Metcash
SGM,SGM,
WOT,WOT,
DRR,Deterra Royalties,Deterra
ZIP,ZIP,
SLC,SLC,
ABC,ABC,
ELD,Elders Limited,Elders
BVS,BVS,
AAC,Australian Agricultural Company Limited,AACo
ACE,ACE,
AGI,AGI,
TNE,TNE,
DUR,DUR,
EDV,Endeavour Group,Endeavour
CHC,Charter Hall Group,Charter Hall
SCG,Scentre Group,Westfield
EOS,EOS,
OML,oOh!media Limited,oOh media | OOH Media
COL,Coles Group,Coles
ALD,Ampol Limited,Caltex Australia
PNC,PNC,
CWY,CWY,
ORA,Orora Limited,Orora
REG,REG,
RWC,RWC,
SSM,SSM,
AJL,AJL,
AVR,AVR,
LAU,Lindsay Australia Limited,Lindsay
WGN,Wagners Holding Company Limited,Wagners | Wagners Holding Company
DBI,DBI,
NXT,NXT,
KGN,KGN,
CVW,CVW,
PRG,PRL Global Ltd,PRL Global
RFF,Rural Funds Management,Rural Funds Group
NTD,NTD,
AQZ,Alliance Aviation Services Limited,Alliance Aviation
ABG,Abacus Group,Abacus
AX1,Accent Group Limited,Accent
