ticker
IDX
SIG
ORA
PRG
RFF
ASG
KLS
AAC
LAU
MTS
CMW
EVT
ACF
AQZ
ALQ
CBO
CCP
ING
NEC
OML
RGN
XRO
BAP
BSL
GDI
SEK
SDF
COL
DRR
ELD
EDV
APE
ANN
A1N
HCW
PFP
REH
ABG
ASK
AX1
CCV
CHC
CLW
APZ
CIP
ARF
CWP
DXC
DMP
CDA
CKF
EHL
GEM
GDF
GNC
GWA
IEL
DNL
LYC
IRE
IGL
NVX
PLS
QUB
SFR
NUF
S32
SGR
SST
SYR
TAH
WHC
